iter	Logloss
169	0.5336023855
170	0.5335340881
171	0.5334803611
172	0.5333949384
173	0.5333342028
174	0.533288321
175	0.5332221631
176	0.5331842985
177	0.5331447856
178	0.5330641292
179	0.533027383
180	0.532968196
181	0.5329136116
182	0.5328906108
183	0.5328529845
184	0.5328054961
185	0.5327722458
186	0.5327174088
187	0.5326521099
188	0.5326093987
189	0.532591169
190	0.5325495255
191	0.532501365
192	0.5324530488
193	0.5323954176
194	0.5323356286
195	0.5322768677
196	0.5322196909
197	0.5321431438
198	0.5320722569
199	0.5320542292
200	0.5320214485
201	0.5319569825
202	0.5318872474
203	0.5318104788
204	0.5317604435
205	0.5317146596
206	0.5316606275
207	0.5316318748
208	0.531585518
209	0.5315656877
210	0.531516694
211	0.5314822652
212	0.5314125816
213	0.531348332
214	0.5312735845
215	0.5312189253
216	0.5311694981
217	0.5311135345
218	0.531071254
219	0.5310349688
220	0.5309719713
221	0.5309405377
222	0.5308778667
223	0.5308343229
224	0.5307821019
225	0.5307284743
226	0.5306647548
227	0.5306351858
228	0.5305911616
229	0.530559328
230	0.5305201704
231	0.5304823684
232	0.5304668567
233	0.5304221356
234	0.5303670329
235	0.5303046448
236	0.5302545598
237	0.5301831186
238	0.5301503435
239	0.5300987297
240	0.5300317108
241	0.5299946295
242	0.5299695477
243	0.5299365448
244	0.5299334375
245	0.5298833838
246	0.5298355557
247	0.5297700531
248	0.5297018289
249	0.5296659079
250	0.5296312409
251	0.5295884842
252	0.5295575277
253	0.5295122751
254	0.5294544948
255	0.5294042677
256	0.5293482594
257	0.5292938034
258	0.5292626923
259	0.5292290441
260	0.5291872599
261	0.5291485223
262	0.5291168938
263	0.5290489482
264	0.5290374778
265	0.5289864057
266	0.5289600148
267	0.5288808015
268	0.5288693102
269	0.5288369996
270	0.5288246767
271	0.5287863971
272	0.5287489451
273	0.5287283571
274	0.528684041
275	0.5286639622
276	0.52863797
277	0.5286180828
278	0.5286028055
279	0.5285724687
280	0.5285475045
281	0.5284760327
282	0.5284343674
283	0.5283938665
284	0.5283460251
285	0.5283111505
286	0.5282473549
287	0.5282319288
288	0.5282024524
289	0.5281650328
290	0.5281148598
291	0.5280629574
292	0.5280211594
293	0.5280011566
294	0.5279491117
295	0.5279029447
296	0.5278590518
297	0.5278111594
298	0.5277715811
299	0.5277106951
300	0.5276847187
301	0.5276448136
302	0.5275843684
303	0.5275541044
304	0.5274892574
305	0.5274533051
306	0.5274015884
307	0.5273598301
308	0.5273005886
309	0.527263863
310	0.5272171432
311	0.5271513838
312	0.5271102696
313	0.5270610214
314	0.5270389739
315	0.5269995752
316	0.5269898857
317	0.5269611237
318	0.5269102723
319	0.5268894128
320	0.5268416086
321	0.526785659
322	0.5267578039
323	0.5267254641
324	0.5266748553
325	0.5266272638
326	0.5265751114
327	0.5265334075
328	0.5264955841
329	0.5264837982
330	0.5264184552
331	0.5263546817
332	0.5263287142
333	0.5262938903
334	0.5262645835
335	0.526217426
336	0.5261749219
337	0.5261178193
338	0.5260822507
339	0.5260286232
340	0.526008812
341	0.5259748064
342	0.5259112279
343	0.5258662406
344	0.5257933431
345	0.5257388609
346	0.5256870233
347	0.5256352711
348	0.5256068966
349	0.5255464557
350	0.5255114918
351	0.525470706
352	0.525431447
353	0.5253746371
354	0.525363915
355	0.525309206
356	0.525278987
357	0.525235615
358	0.5251798935
359	0.525158187
360	0.5251272419
361	0.5250678507
362	0.525010897
363	0.5249556206
364	0.5249156598
365	0.5248684874
366	0.5248317855
367	0.5248040347
368	0.5247550964
369	0.5247199587
370	0.524689865
371	0.5246360918
372	0.5245837331
373	0.5245545422
374	0.5245197707
375	0.5244769198
376	0.5244383434
377	0.5243889663
378	0.524340418
379	0.5243264799
380	0.5243023876
381	0.5242375332
382	0.5242009599
383	0.5241516252
384	0.5240969725
385	0.5240718176
386	0.5240469263
387	0.5240279147
388	0.5239999307
389	0.5239722305
390	0.5239242114
391	0.5239056232
392	0.5238674134
393	0.523865913
394	0.5238125805
395	0.523775677
396	0.5237305452
397	0.5237000876
398	0.5236788079
399	0.523634276
400	0.5236216134
401	0.5236084488
402	0.5235582531
403	0.5235077795
404	0.5234667731
405	0.52340857
406	0.5233633725
407	0.5233405822
408	0.5232879496
409	0.5232489562
410	0.5232050849
411	0.5231697054
412	0.5231300437
413	0.523065991
414	0.5230360506
415	0.5229977684
416	0.5229591853
417	0.5229158893
418	0.5228805237
419	0.5228320834
420	0.5228045085
421	0.5227624834
422	0.5227254038
423	0.5227133553
424	0.5226924293
425	0.5226466957
426	0.5225842289
427	0.5225557777
428	0.5225180991
429	0.5224896996
430	0.5224559086
431	0.522424657
432	0.5223748602
433	0.5223483685
434	0.5222985931
435	0.5222614001
436	0.5222380216
437	0.5222097944
438	0.5221721737
439	0.5221420802
440	0.5220849337
441	0.5220655676
442	0.522042186
443	0.5220012657
444	0.5219587357
445	0.5219378488
446	0.5218925945
447	0.5218491592
448	0.521809247
449	0.5217383346
450	0.5217063224
451	0.5216536456
452	0.5216347143
453	0.5216025796
454	0.5215800982
455	0.5215264948
456	0.5214806797
457	0.5214474082
458	0.521411879
459	0.521363685
460	0.5213149258
461	0.5212909945
462	0.5212540869
463	0.5212315205
464	0.5211985342
465	0.521154976
466	0.5211075597
467	0.5210594539
468	0.5210416455
469	0.5210241413
470	0.5209886734
471	0.5209394974
472	0.520884825
473	0.520861895
474	0.5208296054
475	0.5207611306
476	0.5206987617
477	0.5206694908
478	0.5206347999
479	0.5206147618
480	0.5205859137
481	0.5205580059
482	0.5204953977
483	0.5204712591
484	0.5204322615
485	0.5203751261
486	0.5203334132
487	0.5202858157
488	0.5202717933
489	0.520241001
490	0.5202173093
491	0.5201782058
492	0.5201519149
493	0.5201224387
494	0.5200794683
495	0.5200231703
496	0.5199921767
497	0.5199537585
498	0.5199223341
499	0.519875569
500	0.5198384074
501	0.5198166733
502	0.5197688784
503	0.5197281008
504	0.519686146
505	0.519597759
506	0.5195592264
507	0.519538602
508	0.5195212941
509	0.5194879237
510	0.5194313588
511	0.519380127
512	0.5193463004
513	0.5193060256
514	0.5192555598
515	0.5192349601
516	0.5192196162
517	0.5191930869
518	0.5191644578
519	0.519131469
520	0.519088996
521	0.5190454197
522	0.5189911974
523	0.5189663951
524	0.5189225466
525	0.5188894127
526	0.5188507388
527	0.5188153989
528	0.5187872261
529	0.5187420583
530	0.518714626
531	0.5187018152
532	0.5186660822
533	0.5186211472
534	0.5185871319
535	0.5185704298
536	0.5185500343
537	0.5185236128
538	0.5184824824
539	0.5184622147
540	0.5184222408
541	0.5184014656
542	0.5183539007
543	0.5183232453
544	0.5182924326
545	0.5182514901
546	0.5182195691
547	0.518184203
548	0.5181306695
549	0.5180853476
550	0.5180509097
551	0.5180128378
552	0.5179511313
553	0.517915351
554	0.5178707899
555	0.5178244679
556	0.51779223
557	0.5177682351
558	0.5177519904
559	0.5177253695
560	0.5177092232
561	0.5176778653
562	0.517629064
563	0.517596275
564	0.5175506725
565	0.5175080798
566	0.5174975447
567	0.517471262
568	0.5174375939
569	0.5173929273
570	0.5173311165
571	0.5172997913
572	0.5172562313
573	0.5172357203
574	0.517208104
575	0.5171659511
576	0.5171263754
577	0.517097143
578	0.5170500957
579	0.5170027487
580	0.5169868186
581	0.5169341349
582	0.5169024217
583	0.5168585761
584	0.5168399688
585	0.5168030258
586	0.5167673639
587	0.5167129904
588	0.5166563046
589	0.5166042458
590	0.5165457067
591	0.5165206465
592	0.5164989251
593	0.5164586176
594	0.5164171234
595	0.5164024389
596	0.5163898228
597	0.5163449519
598	0.5163131934
599	0.5162791766
600	0.5162528818
601	0.5162152016
602	0.5161895632
603	0.5161424331
604	0.5161160619
605	0.5160802282
606	0.5160636281
607	0.5160479808
608	0.5160216584
609	0.5159780494
610	0.5159384724
611	0.5159084844
612	0.515862872
613	0.5158205386
614	0.5157722727
615	0.5157229139
616	0.5156983284
617	0.5156730095
618	0.5156279665
619	0.5156147023
620	0.5155837785
621	0.5155510398
622	0.5155182468
623	0.5154695459
624	0.5154375948
625	0.5154138844
626	0.5153675284
627	0.5153330215
628	0.5152949361
629	0.5152762639
630	0.5152292787
631	0.5151810985
632	0.5151473357
633	0.5151073853
634	0.5150765299
635	0.5150257437
636	0.5149861614
637	0.5149693535
638	0.5149308253
639	0.5149009065
640	0.5148592718
641	0.5148169308
642	0.5148082693
643	0.5147790513
644	0.5147480222
645	0.5147033812
646	0.5146838621
647	0.5146745877
648	0.5146307933
649	0.5145971449
650	0.5145816765
651	0.514552076
652	0.514520303
653	0.5145021402
654	0.5144852545
655	0.5144643238
656	0.5144231523
657	0.5143772351
658	0.514352432
659	0.5143274445
660	0.514295909
661	0.5142663186
662	0.5142370289
663	0.514203992
664	0.5141683441
665	0.5141353072
666	0.5140783647
667	0.5140310553
668	0.5140174734
669	0.5139901581
670	0.5139572008
671	0.5139148346
672	0.5138886597
673	0.5138725721
674	0.5138472169
675	0.513822879
676	0.5137815236
677	0.5137365288
678	0.5137210957
679	0.5137082807
680	0.5136774032
681	0.5136420077
682	0.5136188576
683	0.5135715088
684	0.5135220656
685	0.5134919829
686	0.513465075
687	0.5134260833
688	0.5133708202
689	0.5133545946
690	0.5133299239
691	0.5132996315
692	0.5132634454
693	0.5132378359
694	0.5131921721
695	0.5131577635
696	0.5131406634
697	0.5130906597
698	0.5130453413
699	0.5130047683
700	0.5129567969
701	0.5129187944
702	0.512887356
703	0.5128532801
704	0.5128367628
705	0.5128162954
706	0.512783108
707	0.5127674303
708	0.5127412595
709	0.5127288749
710	0.512691377
711	0.5126846139
712	0.5126623432
713	0.5126179737
714	0.51257761
715	0.5125331169
716	0.5125062184
717	0.5124807555
718	0.5124522302
719	0.5124311101
720	0.5124129199
721	0.5123726093
722	0.5123521838
723	0.5123261896
724	0.5122940592
725	0.5122635329
726	0.5122182295
727	0.5122141239
728	0.5121560445
729	0.5121342139
730	0.512122321
731	0.5120834671
732	0.5120678617
733	0.5120440987
734	0.5120046756
735	0.5119700809
736	0.5119379448
737	0.5119082662
738	0.5118815523
739	0.5118549734
740	0.5118366344
741	0.5118072533
742	0.5117658776
743	0.5117399444
744	0.511694355
745	0.5116369888
746	0.5116047972
747	0.5115641289
748	0.5115323096
749	0.5114999618
750	0.511464048
751	0.511439776
752	0.511416534
753	0.5114040766
754	0.5113753435
755	0.5113563578
756	0.5113280106
757	0.5112985599
758	0.5112602244
759	0.5112209008
760	0.5111947517
761	0.5111396967
762	0.5110999473
763	0.5110749264
764	0.5110502213
765	0.5110360247
766	0.5110023396
767	0.5109621793
768	0.5109483162
769	0.5109123127
770	0.5108567592
771	0.5108381595
772	0.5108239591
773	0.5107776316
774	0.5107405738
775	0.5107181677
776	0.5106983641
777	0.5106578473
778	0.5106506937
779	0.5106210301
780	0.5105728788
781	0.510543655
782	0.5105198999
783	0.5104931139
784	0.5104657307
785	0.510438868
786	0.5104206472
787	0.5103932617
788	0.5103832604
789	0.5103243438
790	0.5102931369
791	0.5102677306
792	0.5102543927
793	0.5102158602
794	0.5101990886
795	0.5101718037
796	0.5101502579
797	0.5101412058
798	0.5101078768
799	0.5100799319
800	0.5100640305
801	0.5100471678
802	0.5100136322
803	0.5099803603
804	0.5099532397
805	0.5099175536
806	0.5098754941
807	0.5098357369
808	0.5097974999
809	0.5097704727
810	0.5097397068
811	0.5097295856
812	0.5097091272
813	0.5096713439
814	0.509624499
815	0.5096082132
816	0.5095844235
817	0.5095777005
818	0.5095602904
819	0.5095265492
820	0.5095066617
821	0.5094403814
822	0.5094253483
823	0.5094051111
824	0.5093736038
825	0.509338957
826	0.5093119369
827	0.5092672106
828	0.509224394
829	0.5092068735
830	0.509152306
831	0.5091240145
832	0.5090946586
833	0.5090774988
834	0.5090703176
835	0.5090589143
836	0.5090202203
837	0.5090124697
838	0.5089841524
839	0.5089628611
840	0.5089298919
841	0.508900538
842	0.5088664913
843	0.5088185435
844	0.5087827589
845	0.508777356
846	0.5087404253
847	0.5087004416
848	0.5086690812
849	0.508641587
850	0.5086155658
851	0.5085916392
852	0.5085605508
853	0.5085319485
854	0.5085143841
855	0.5084918115
856	0.5084511898
857	0.5084174601
858	0.5083793883
859	0.5083447211
860	0.5083146
861	0.5082878216
862	0.5082432002
863	0.5082292988
864	0.5082033115
865	0.5081561864
866	0.5081193313
867	0.5080775584
868	0.5080685253
869	0.5080363176
870	0.5080192194
871	0.5080012584
872	0.507968937
873	0.5079619066
874	0.5079350065
875	0.5078993737
876	0.5078816855
877	0.5078451518
878	0.5078181855
879	0.507797162
880	0.507766509
881	0.5077130923
882	0.5076796642
883	0.5076693395
884	0.5076446573
885	0.5076022883
886	0.5075739563
887	0.5075600572
888	0.5075478543
889	0.5074969455
890	0.5074761072
891	0.5074383107
892	0.5074084148
893	0.5073866037
894	0.5073373372
895	0.5072839852
896	0.5072327181
897	0.5072079309
898	0.5071990398
899	0.5071633794
900	0.5071332672
901	0.5071110985
902	0.5070907539
903	0.5070545391
904	0.5070127342
905	0.5069945424
906	0.5069682789
907	0.5069540347
908	0.5069323786
909	0.5069168056
910	0.5069024069
911	0.5068859889
912	0.5068742276
913	0.506844426
914	0.5068013236
915	0.5067853083
916	0.5067395008
917	0.5067094958
918	0.5066912861
919	0.5066794132
920	0.5066465323
921	0.5066268922
922	0.5065890048
923	0.5065602431
924	0.5065264318
925	0.5065140624
926	0.5064844516
927	0.5064650763
928	0.5064458025
929	0.506420166
930	0.5063779215
931	0.5063594875
932	0.506336484
933	0.5062953784
934	0.5062599256
935	0.5062368157
936	0.5062059589
937	0.5061848442
938	0.5061777048
939	0.5061373305
940	0.5061111257
941	0.5060654575
942	0.5060237406
943	0.5059915412
944	0.505965922
945	0.505949366
946	0.5059142036
947	0.5058957193
948	0.5058707754
949	0.5058318447
950	0.5058120362
951	0.5057830346
952	0.5057410833
953	0.5056890238
954	0.5056372128
955	0.5056238473
956	0.5055902531
957	0.5055646846
958	0.5055339205
959	0.5055134569
960	0.5054681571
961	0.5054377802
962	0.505424558
963	0.5053984978
964	0.5053820064
965	0.5053301654
966	0.5052894773
967	0.5052596723
968	0.5052285396
969	0.5052020697
970	0.5051650146
971	0.5051140919
972	0.5050957126
973	0.5050604663
974	0.5050183819
975	0.504993952
976	0.5049687283
977	0.5049301886
978	0.5049026477
979	0.5048692254
980	0.504839475
981	0.5047970968
982	0.504783706
983	0.5047713569
984	0.504751633
985	0.5047053936
986	0.5046930812
987	0.5046787373
988	0.5046520298
989	0.5046341943
990	0.5046129268
991	0.5045962027
992	0.5045678828
993	0.5045300149
994	0.5045195545
995	0.5045045557
996	0.5044597721
997	0.5044360151
998	0.5044082606
999	0.5043489178
